,year,erf
463,1788.583333,0.228174954
464,1788.666667,0.229760681
465,1788.75,0.23120864
466,1788.833333,0.232530781
467,1788.916667,0.233738032
468,1789.0,0.234840353
469,1789.083333,0.235846875
470,1789.166667,0.236765944
471,1789.25,0.237605164
472,1789.333333,0.238371473
473,1789.416667,0.239071185
474,1789.5,0.239710073
475,1789.583333,0.24029343
476,1789.666667,0.240826107
477,1789.75,0.241312507
478,1789.833333,0.241756652
479,1789.916667,0.242162192
480,1790.0,0.24253247
481,1790.083333,0.242870561
482,1790.166667,0.243179282
483,1790.25,0.2434612
484,1790.333333,0.243718624
485,1790.416667,0.243953674
486,1790.5,0.244168284
487,1790.583333,0.244364228
488,1790.666667,0.244543152
489,1790.75,0.244706542
490,1790.833333,0.244855748
491,1790.916667,0.244991981
492,1791.0,0.245116354
493,1791.083333,0.245229907
494,1791.166667,0.245333601
495,1791.25,0.245428305
496,1791.333333,0.245514793
497,1791.416667,0.245593759
498,1791.5,0.24566584
499,1791.583333,0.245731649
500,1791.666667,0.245791747
501,1791.75,0.245846638
502,1791.833333,0.24589677
503,1791.916667,0.245942533
504,1792.0,0.245984299
505,1792.083333,0.246022427
506,1792.166667,0.246057251
507,1792.25,0.246089072
508,1792.333333,0.246118134
509,1792.416667,0.246144671
510,1792.5,0.246168884
511,1792.583333,0.246190978
512,1792.666667,0.246211157
513,1792.75,0.246229602
514,1792.833333,0.246246452
515,1792.916667,0.24626183
516,1793.0,0.246275852
517,1793.083333,0.246288647
518,1793.166667,0.246300336
519,1793.25,0.246311035
520,1793.333333,0.246320814
521,1793.416667,0.246329737
522,1793.5,0.246337865
523,1793.583333,0.246345274
524,1793.666667,0.246352049
525,1793.75,0.24635825
526,1793.833333,0.24636392
527,1793.916667,0.246369091
528,1794.0,0.246373785
529,1794.083333,0.246378073
530,1794.166667,0.246381996
531,1794.25,0.246385592
532,1794.333333,0.246388894
533,1794.416667,0.246391905
534,1794.5,0.246394631
535,1794.583333,0.24639711
536,1794.666667,0.24639938
537,1794.75,0.246401469
538,1794.833333,0.246403389
539,1794.916667,0.246405128
540,1795.0,0.246406694
541,1795.083333,0.13817398
542,1795.166667,0.063929679
543,1795.25,0.015133161
544,1795.333333,-0.01474275
545,1795.416667,-0.030675887
546,1795.5,-0.036453131
547,1795.583333,-0.034947127
548,1795.666667,-0.028329329
549,1795.75,-0.018234077
550,1795.833333,-0.005884469
551,1795.916667,0.007811009
552,1796.0,0.022184777
553,1796.083333,0.036752806
554,1796.166667,0.051170058
555,1796.25,0.065196509
556,1796.333333,0.078670871
557,1796.416667,0.091490363
558,1796.5,0.103595292
559,1796.583333,0.114957418
560,1796.666667,0.125571249
561,1796.75,0.135447483
562,1796.833333,0.144608005
563,1796.916667,0.153082356
564,1797.0,0.160904916
565,1797.083333,0.168112993
566,1797.166667,0.174745113
567,1797.25,0.180839926
568,1797.333333,0.186435358
